dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,AC021851.1,0.0768833423993286,0.259539795512572,1.3063683303862,0,TRUE,FALSE,3,6,306
IMmotion150,AC021851.2,0.0679579236132468,0.258230397752834,1.53463963859577,0,TRUE,FALSE,3,6,306
IMmotion150,AC021860.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021863.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021876.1,0.00997640470732829,0.0947692832410984,1.02299075778775,0,TRUE,FALSE,1,3,103
IMmotion150,AC021915.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021915.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021945.1,0.0679865525347845,0.248116904108492,1.48591095716982,0,TRUE,FALSE,3,6,306
IMmotion150,AC021979.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021979.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC021979.3,0.0165304428668723,0.127332536108747,1.11897918048759,0,TRUE,FALSE,2,4,204
IMmotion150,AC022001.1,0.0421479316452188,0.212470123846975,1.36907080482315,0,TRUE,FALSE,3,5,305
IMmotion150,AC022001.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022001.3,0.00980210294198366,0.0947911940450062,1.08355007705934,0,TRUE,FALSE,1,3,103
IMmotion150,AC022007.1,1.61989276797114,0.582884836104185,2.44679864305468,0,TRUE,FALSE,6,8,608
IMmotion150,AC022017.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022018.1,0.272032663235844,0.509596289946663,2.76389308058528,0,TRUE,FALSE,4,8,408
IMmotion150,AC022022.1,0.0119498359324837,0.112097606505417,1.05816308113029,0,TRUE,FALSE,2,4,204
IMmotion150,AC022022.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022023.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022023.2,0.0163413486877672,0.125032358534303,1.04562973473937,0,TRUE,FALSE,2,4,204
IMmotion150,AC022028.1,0.00632191627394117,0.0841076256431356,1.11897918048759,0,TRUE,FALSE,1,3,103
IMmotion150,AC022028.2,0.0566251650170168,0.25402976868971,1.84316883521067,0,TRUE,FALSE,3,6,306
IMmotion150,AC022028.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022031.1,0.00487568668226682,0.0648667923546652,0.862996542761227,0,TRUE,FALSE,1,2,102
IMmotion150,AC022031.2,0.208649868280352,0.425547781266626,1.79324873003159,0,TRUE,FALSE,4,7,407
IMmotion150,AC022034.1,0.71703579621575,0.687957388032491,2.14060908739499,0,TRUE,FALSE,5,9,509
IMmotion150,AC022034.2,0.592950926942379,0.644621244813135,2.0951973368557,0,TRUE,FALSE,5,9,509
IMmotion150,AC022034.3,0.0284173431717764,0.169707143243951,1.25178530403551,0,TRUE,FALSE,2,5,205
IMmotion150,AC022034.4,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022035.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022039.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022068.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022069.1,0.0692425442141325,0.262724764347411,1.43132981121936,0,TRUE,FALSE,3,6,306
IMmotion150,AC022079.1,0.114397574018414,0.33066812254385,1.62507010213923,0,TRUE,FALSE,3,7,307
IMmotion150,AC022079.2,0.0605922868775223,0.240520115838329,1.29715935233486,0,TRUE,FALSE,3,6,306
IMmotion150,AC022080.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022080.2,0.0135477372215945,0.12712131357434,1.22668492022783,0,TRUE,FALSE,2,4,204
IMmotion150,AC022081.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022087.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022092.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022098.1,2.53651337271771,0.255421065466875,2.92590544136673,0,TRUE,FALSE,7,6,706
IMmotion150,AC022098.2,0.00905526848437961,0.0854970295981855,0.892419620202401,0,TRUE,FALSE,1,3,103
IMmotion150,AC022098.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022098.4,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022100.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022106.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022106.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022107.1,0.750732059315382,0.645365452453746,1.99069841233468,0,TRUE,FALSE,5,9,509
IMmotion150,AC022113.1,0.00509537346542198,0.0677895349086154,0.90188110337969,0,TRUE,FALSE,1,2,102
IMmotion150,AC022118.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022121.1,0.0321425436778221,0.173182212814929,1.12292893675032,0,TRUE,FALSE,2,5,205
IMmotion150,AC022126.1,0.148116094434649,0.377552709579202,1.74417549340891,0,TRUE,FALSE,4,7,407
IMmotion150,AC022133.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022133.2,0.0067267705151431,0.0894938610001915,1.19063838118033,0,TRUE,FALSE,1,3,103
IMmotion150,AC022137.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022137.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022137.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022140.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022140.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022144.1,2.57527215123322,0.425619949573287,3.17618574458704,0,TRUE,FALSE,7,7,707
IMmotion150,AC022145.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022145.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022146.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022146.2,0.00512612243041147,0.0681986232805871,0.907323670182829,0,TRUE,FALSE,1,2,102
IMmotion150,AC022148.1,0.316694091414804,0.508599007932924,1.90311768366838,0,TRUE,FALSE,4,8,408
IMmotion150,AC022148.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022149.1,0.0135477372215945,0.12712131357434,1.22668492022783,0,TRUE,FALSE,2,4,204
IMmotion150,AC022150.1,0.0665782228984105,0.322832020166648,2.25964588017855,0,TRUE,FALSE,3,7,307
IMmotion150,AC022150.2,0.0244635660139074,0.16455693567012,1.32381892276256,0,TRUE,FALSE,2,5,205
IMmotion150,AC022150.3,0.567963635119666,0.825403188244675,2.63381707784495,0,TRUE,FALSE,5,10,510
IMmotion150,AC022150.4,3.52348442577373,0.0937115785680054,3.81821165607131,0,TRUE,FALSE,9,3,903
IMmotion150,AC022154.1,0.110259938394815,0.360019116858732,2.08734821840218,0,TRUE,FALSE,3,7,307
IMmotion150,AC022164.1,0.0697675575329702,0.293466134010655,1.64576801023784,0,TRUE,FALSE,3,6,306
IMmotion150,AC022165.1,0,0,0,0,FALSE,FALSE,,,
