dataset,random_set_id,genes,HR_int,beta_int,p_value,direction_supportive,notes
JAVELIN,146,ALPK3;CHRDL1;FOLR2;MIR3126;SNORD116-10,1.04531380267745,,0.683437024107404,FALSE,""
JAVELIN,147,ACE2;SNORD110;HOXD4;SLC5A8;KIAA1324L,1.49891911411941,,0.000156762103657383,FALSE,""
JAVELIN,148,SHROOM3;CD79A;CDH13;CYP2C18;GRHL1,1.14670779600743,,0.202613433914539,FALSE,""
JAVELIN,149,STC1;GPC3;RNF128;GUCY1B2;POLQ,1.05699204328693,,0.61012499573175,FALSE,""
JAVELIN,150,MIR645;MFAP2;RASGRP1;SLC13A1;TP73,0.964367875017605,,0.726137471107979,TRUE,""
JAVELIN,151,HOGA1;ESPN;SEMA4G;CNTN6;GRAP2,1.08616739977197,,0.438654147937599,FALSE,""
JAVELIN,152,MYO3A;C2;PTER;ANO4;KIF20A,0.984938579244722,,0.885952648929569,TRUE,""
JAVELIN,153,HHLA2;IGF1;TSKU;TUBA3E;MIR3177,1.12634465289653,,0.264811917354626,FALSE,""
JAVELIN,154,MYOM3;MLXIPL;ID4;KNG1;SPTBN5,1.34949922318956,,0.00873433653659117,FALSE,""
JAVELIN,155,MIR4499;ADORA1;ALDOC;C9orf66;SPIRE2,1.3180636656244,,0.0090034757378168,FALSE,""
JAVELIN,156,MUC3A;SPEG;HMCN1;SNORD115-25;CYP27B1,1.23821310235455,,0.052517865656829,FALSE,""
JAVELIN,157,PROM1;IL1B;HMCN1;MIR4274;MYCT1,1.31433358467491,,0.0124033851524685,FALSE,""
JAVELIN,158,AKR7A3;MIR563;HRSP12;COL25A1;SMG1P5,1.4854033649668,,0.000388318878807632,FALSE,""
JAVELIN,159,SCNN1A;SNORD114-13;ECM2;SFTPC;MFAP3L,1.26796853057899,,0.0245102086045934,FALSE,""
JAVELIN,160,FNDC1;CYP2C9;MIR628;HAS1;SPHK1,0.997364713203302,,0.98095064715273,TRUE,""
JAVELIN,161,KCP;PCDH10;HOXD4;KLB;PDE1C,1.612734458599,,1.13606332106944e-05,FALSE,""
JAVELIN,162,SLC16A12;KIF26B;PTER;MUC13;CD300LF,1.07182905672871,,0.50160997324179,FALSE,""
JAVELIN,163,TINAG;CXCL8;RASGRP1;GDF6;EMR4P,1.18017516944402,,0.128115694907203,FALSE,""
JAVELIN,164,FGG;CLCNKA;HIST1H2BM;SNORD114-5;MIR593,1.15710643606718,,0.170812516974453,FALSE,""
JAVELIN,165,SCN9A;COBL;MTCL1;CR1L;MELK,1.00007241942417,,0.999469061532842,FALSE,""
JAVELIN,166,FOLH1;CYP4F12;RIPK4;GCGR;KCNA3,1.35916880360616,,0.00391604978330874,FALSE,""
JAVELIN,167,FXYD2;GFRA1;PTTG1;AGR2;MIR627,1.22152773377061,,0.0633782949036217,FALSE,""
JAVELIN,168,CCL19;FLRT3;PDLIM3;UNC5A;SOGA3,0.936624282952628,,0.5481034958524,TRUE,""
JAVELIN,169,PCOLCE2;SPINK1;SNORD29;MIR4685;DPY19L2P2,1.16037563821079,,0.164590471330571,FALSE,""
JAVELIN,170,TENM1;SNORD110;SLC1A1;MIR1302-5;LILRA6,1.43334381286122,,0.00124552972008936,FALSE,""
JAVELIN,171,RAP1GAP;CYP4F3;MIR4635;MIR4521;CXCR6,1.20532803231641,,0.0776533130456395,FALSE,""
JAVELIN,172,SLC16A12;ABCA12;TOP2A;MIR365A;NEIL3,0.863941061901823,,0.17216740980277,TRUE,""
JAVELIN,173,ADAM12;GLIS1;MYO7A;NECAB2;LOC441402,1.33459474297129,,0.00884712957515318,FALSE,""
JAVELIN,174,STC1;MGAM;PLAUR;APOBEC3A;CCDC141,1.0898600176289,,0.419966122881864,FALSE,""
JAVELIN,175,DDC;CYP24A1;SNORD29;PCDHB5;NBEAP1,1.33432296034466,,0.0105431320456942,FALSE,""
JAVELIN,176,PIGR;EPPK1;MXRA8;MIR4798;CACNA2D4,1.04141319894432,,0.701936574049677,FALSE,""
JAVELIN,177,TMEM45A;VNN1;MS4A4A;CLIC6;MMP17,1.10979191214741,,0.331743076236665,FALSE,""
JAVELIN,178,NEB;THBS4;RASGRP1;ORM1;TMEM38A,1.0365269516644,,0.762774942373952,FALSE,""
JAVELIN,179,GATA3;SNORD114-13;ID1;MMP12;RPS6KL1,0.991417688275171,,0.936444838000621,TRUE,""
JAVELIN,180,ADAM12;MIR4731;CYTIP;TRPA1;FAM69B,1.12970181055933,,0.265893099466595,FALSE,""
JAVELIN,181,MIR23C;IRF4;SEMA4G;SCGB1A1;GRHL1,1.08553789091959,,0.46426474744563,FALSE,""
JAVELIN,182,COMP;PLCH2;CSF3R;MIR4280;KIF26A,0.995422895457854,,0.964390879891545,TRUE,""
JAVELIN,183,ARHGEF16;GRM8;CCL4;SCTR;LINC00299,1.23413735368795,,0.0464119276897688,FALSE,""
JAVELIN,184,CHDH;UTY;TOP2A;HAS1;LOC101928749,1.15786096202074,,0.184733670005822,FALSE,""
JAVELIN,185,FOLH1;MT1A;DPYSL3;BMPER;AGBL3,1.28911898106881,,0.0218684288450109,FALSE,""
JAVELIN,186,ALDH1L1;CPA3;SLC44A3;LRRC7;MIR3664,1.55799505332653,,6.48401862055622e-05,FALSE,""
JAVELIN,187,CST7;HAMP;FPR1;KRT15;KCNMB4,0.836037619486289,,0.104384534601365,TRUE,""
JAVELIN,188,FRAS1;FOXF1;SNORD4B;ZNF114;LRRC17,1.47209537687369,,0.000319799653289788,FALSE,""
JAVELIN,189,SCN9A;SNORD87;HOXD4;TUBA3E;ZSWIM5,1.30936008779242,,0.0114154759800909,FALSE,""
JAVELIN,190,HABP2;SIGLEC14;HOXD4;SCN4A;CD80,1.14395738926283,,0.191493613966926,FALSE,""
JAVELIN,191,PIGR;MIR3941;MECOM;C1orf116;LOC100133669,1.3455719021876,,0.00474786627883986,FALSE,""
